clone,clone_type,juju,copper,rep,induction_1,induction_1_pedestal,induction_1_nteeth,induction_2,induction_2_pedestal,induction_2_nteeth,induction_3,induction_3_pedestal,induction_3_nteeth,induction_4,induction_4_pedestal,induction_4_nteeth,induction_5,induction_5_pedestal,induction_5_nteeth,max_induction_total_I1,max_induction_total_I2,max_induction_pedestal_I1,max_induction_pedestal_I2,max_induction_nteeth_I1,max_induction_nteeth_I2,size_1,size_2,size_3,size_4,size_5,size_maturity,age_maturity,survival_time,alive_dead,somaticGrowth_maturity,somaticGrowth_3d,somaticGrowth_4d
D86A,low,0.10,5,4,40,30,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,30,0,10,0,0.692,0.800,0.832,0.933,0.964,NA,NA,6,1,NA,NA,NA
D86A,low,0.10,5,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.732,NA,NA,NA,NA,1.797,7,7,0,0.128299053,NA,NA
D86A,low,0.10,5,6,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.773,NA,NA,NA,NA,1.806,7,7,0,0.121227241,NA,NA
D86A,low,0.25,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,0.832,1.013,1.196,1.364,1.913,10,10,0,0.084225744,0.021,0.037
D86A,low,0.25,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834,0.837,1.072,1.437,1.703,1.774,7,7,0,0.10782268,0.036,0.078
D86A,low,0.25,5,3,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0.754,0.832,1.038,1.080,1.376,1.881,10,10,0,0.091416646,0.032,0.036
D86A,low,0.25,5,4,40,30,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,30,0,10,0,0.743,0.808,0.928,1.192,1.571,2.053,7,7,0,0.145194482,0.032,0.068
D86A,low,0.50,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641,0.779,1.016,1.289,1.429,NA,NA,6,1,NA,NA,NA
D86A,low,0.50,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,0.837,1.027,1.242,1.447,1.840,9,9,0,0.110603117,0.046,0.067
D86A,low,0.50,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,0.740,1.042,1.287,1.523,1.732,8,8,0,0.116867411,0.053,0.080
